chapter,prior,learns,guesses,slips
3.2,0.41167530065239794,0.0028959132982489017,0.39218601650322726,0.2160690138957959
3.3,0.46560516668175556,0.005569351677294245,0.34009109580226254,0.2403870978140368
1.1,0.2842685004168046,0.02574462377066885,0.4586036827366284,0.19628293507387226
1.3,0.09062152867282884,0.17171699088351,0.0,1.0
3.1,0.4447118913579141,0.0013163637711711617,0.3994725190111572,0.2079122851803101
1.2,0.5276737455486752,0.0020786288155266717,0.4043272989588528,0.2693282246428092
3.4,0.522329478536444,0.001719416856873572,0.3835656100147682,0.21703915533767915
3.5,0.4827604796965554,0.12661592975114153,0.26802489895138254,0.13459735808159393
3.6,0.3907478278682351,0.006667769843124647,0.3396475477930838,0.17155357514625263
2.1,0.5965444506957873,0.9999997962875911,0.04194046813978341,0.30170138928050344
2.2,0.5229711386562272,0.0025078871295509206,0.3653045722212606,0.27496076548462445
2.3,0.4455095138087546,0.009949972502803536,0.36054902370923725,0.25266616751688215
4.1,0.4982263099716966,0.001070895130025886,0.2923757594828099,0.28056960577307316
4.2,0.46418391812708804,0.01310683204680899,0.32423303105133944,0.2519624359847375
4.3,0.36039402291480227,0.00925564720530815,0.37655104532858413,0.18248658363007655
